miR	Counts
hsa-miR-4284	3532
hsa-miR-21	403577
hsa-miR-145	460948
hsa-miR-574-3p	14370
hsa-miR-29a	58664
hsa-miR-140-3p	30422
hsa-miR-34a	21040
hsa-miR-125b	252759
*	4453637
hsa-miR-221	35811
hsa-miR-100	31396
hsa-miR-23b	3500
hsa-miR-574-5p	1664
hsa-miR-125a-5p	50639
hsa-miR-29b	36903
hsa-miR-130b	45786
hsa-let-7e	2908
hsa-miR-4286	17878
hsa-miR-214	15905
hsa-miR-28-3p	1455
hsa-miR-16	11728
hsa-miR-191	17355
hsa-miR-4301	18704
hsa-miR-15a	2149
hsa-miR-138	1901
hsa-miR-24	142833
hsa-miR-29c	3139
hsa-miR-4315	59845
hsa-miR-143	30300
hsa-miR-93	2152
hsa-miR-193b	5488
hsa-miR-30d	1657
hsa-miR-1280	15499
hsa-miR-224	1284
hsa-miR-17	2093
hsa-miR-26b	1510
hsa-let-7f	10687
hsa-miR-130a	28679
hsa-miR-151-5p	5359
hsa-miR-222	24900
hsa-miR-342-3p	4049
hsa-miR-31	11979
hsa-miR-26a	13553
hsa-miR-152	4947
hsa-miR-199a-5p	34810
hsa-miR-379	646
hsa-miR-10a	8328
hsa-miR-874	1259
hsa-miR-30a	6870
hsa-miR-361-5p	907
hsa-miR-186	774
hsa-let-7b	8474
hsa-miR-99a	7979
hsa-miR-345	1343
hsa-miR-1260b	6912
hsa-miR-199b-5p	2959
hsa-miR-92a	11686
hsa-miR-424	5063
hsa-miR-532-5p	1116
hsa-miR-365	1990
hsa-miR-328	1138
hsa-miR-339-5p	2071
hsa-miR-23a	2219
hsa-miR-181b	789
hsa-miR-148a	5015
hsa-miR-3943	717
hsa-let-7g	9435
hsa-miR-181a	6583
hsa-miR-660	861
hsa-miR-19b	11855
hsa-miR-10b	5638
hsa-miR-25	2379
hsa-miR-455-3p	1510
hsa-miR-22	6570
hsa-miR-218	4432
hsa-miR-484	4907
hsa-miR-301a	3741
hsa-miR-193a-3p	1433
hsa-miR-1973	1096
hsa-miR-136	771
hsa-miR-337-3p	2159
hsa-miR-423-3p	1867
hsa-let-7d	3476
hsa-let-7i	3066
hsa-miR-151-3p	828
hsa-miR-197	4330
hsa-miR-452	568
hsa-miR-505	978
hsa-miR-148b	633
hsa-miR-374b	732
hsa-miR-654-3p	658
hsa-miR-99b	2498
hsa-miR-299-5p	816
hsa-miR-331-3p	4855
hsa-miR-487b	1024
hsa-miR-494	529
hsa-miR-210	1558
hsa-miR-19a	2671
hsa-miR-940	624
hsa-miR-15b	6111
hsa-miR-485-3p	552
hsa-miR-128	1131
hsa-miR-614	1001
hsa-miR-193a-5p	826
hsa-miR-185	2161
hsa-miR-129-3p	1000
hsa-miR-149	522
hsa-miR-425	777
hsa-miR-590-5p	931
hsa-miR-376c	2093
hsa-miR-30e	1128
hsa-miR-27a	623
hsa-miR-23c	577
hsa-miR-195	1184
hsa-miR-106b	569
hsa-miR-92b	1302
hsa-miR-3660	1081
hsa-miR-101	590
hsa-miR-483-3p	1689
hsa-miR-3164	1067
hsa-miR-1274a	1359
hsa-miR-3182	4809
hsa-miR-361-3p	644
hsa-miR-3944	900
hsa-miR-497	630
hsa-miR-140-5p	1499
hsa-miR-636	2083
hsa-miR-4313	582
hsa-miR-98	649
hsa-miR-192	612
hsa-miR-567	549
hsa-miR-3912	1237
hsa-miR-762	579
hsa-miR-4277	773
