miR	Counts
hsa-miR-21	1097865
hsa-let-7b	59201
hsa-miR-222	44938
hsa-miR-92a	14223
hsa-miR-125b	310563
hsa-miR-125a-5p	47180
*	3291031
hsa-let-7g	55495
hsa-let-7i	32641
hsa-miR-24	175746
hsa-miR-100	134058
hsa-miR-130a	31906
hsa-miR-19b	46194
hsa-miR-214	17525
hsa-miR-145	459213
hsa-miR-29a	121378
hsa-miR-191	15864
hsa-miR-31	54433
hsa-miR-199a-5p	59523
hsa-miR-26b	10081
hsa-miR-99a	16605
hsa-miR-152	6632
hsa-miR-151-5p	4703
hsa-miR-140-5p	2141
hsa-let-7f	69249
hsa-miR-130b	24509
hsa-miR-424	8970
hsa-miR-221	72631
hsa-miR-10a	26971
hsa-miR-34a	20053
hsa-miR-143	45333
hsa-miR-1274a	651
hsa-miR-185	2147
hsa-miR-195	4752
hsa-miR-374b	3334
hsa-miR-193a-5p	1779
hsa-miR-29b	35456
hsa-miR-497	1150
hsa-miR-101	1396
hsa-miR-29c	5917
hsa-miR-22	16975
hsa-miR-23b	3805
hsa-miR-628-5p	506
hsa-miR-10b	11177
hsa-miR-1246	13323
hsa-miR-361-3p	977
hsa-miR-15b	5098
hsa-miR-4301	32044
hsa-miR-532-5p	1313
hsa-miR-16	27227
hsa-miR-140-3p	19756
hsa-let-7e	18751
hsa-miR-1260b	869
hsa-miR-3182	4448
hsa-miR-19a	6756
hsa-miR-148a	8282
hsa-let-7d	12742
hsa-miR-4315	42476
hsa-miR-335	1039
hsa-miR-196b	545
hsa-miR-339-5p	2102
hsa-miR-26a	32230
hsa-miR-342-3p	4455
hsa-miR-337-3p	2454
hsa-miR-224	4423
hsa-miR-664	664
hsa-miR-15a	3729
hsa-miR-148b	2160
hsa-miR-301a	1687
hsa-miR-93	1166
hsa-miR-181a	6321
hsa-miR-452	1082
hsa-miR-574-3p	9193
hsa-miR-126	709
hsa-miR-423-3p	1468
hsa-miR-199b-5p	2291
hsa-miR-455-3p	2605
hsa-let-7a	1905
hsa-miR-30d	2834
hsa-miR-4286	9003
hsa-miR-98	2311
hsa-miR-196a	3906
hsa-miR-218	2545
hsa-miR-28-3p	1420
hsa-miR-17	5520
hsa-miR-193a-3p	964
hsa-miR-25	5559
hsa-miR-20a	948
hsa-miR-374a	2824
hsa-miR-128	1154
hsa-miR-574-5p	2257
hsa-miR-365	1934
hsa-miR-3943	541
hsa-miR-30a	5616
hsa-miR-1280	2657
hsa-miR-92b	535
hsa-miR-181b	1306
hsa-miR-23a	3111
hsa-miR-99b	4350
hsa-miR-484	2462
hsa-miR-192	650
hsa-miR-361-5p	1227
hsa-miR-3613-5p	950
hsa-miR-379	630
hsa-miR-30e	1581
hsa-miR-4284	1080
hsa-miR-299-5p	572
hsa-miR-151-3p	878
hsa-miR-660	1739
hsa-miR-193b	2933
hsa-miR-376c	1361
hsa-miR-423-5p	764
hsa-miR-590-5p	576
hsa-miR-483-3p	1211
hsa-miR-186	745
hsa-miR-328	574
hsa-miR-505	870
hsa-miR-197	2048
hsa-miR-720	736
hsa-miR-27a	603
hsa-miR-425	645
hsa-miR-3912	585
hsa-miR-331-3p	2379
hsa-miR-3175	512
hsa-miR-636	745
hsa-miR-106b	528
hsa-miR-138	1048
hsa-miR-551b	501
hsa-miR-3944	558
