miR	Counts
hsa-let-7b	120978
hsa-miR-125b	2390618
hsa-miR-29a	277311
hsa-miR-155	3289
hsa-miR-21	2231873
hsa-miR-218	10227
hsa-miR-222	244549
hsa-miR-130a	112918
hsa-miR-130b	473358
hsa-miR-145	2617834
hsa-miR-26b	13796
hsa-miR-31	143168
hsa-miR-24	700175
hsa-miR-421	738
hsa-miR-136	5027
hsa-miR-138	59904
hsa-miR-125a-5p	289595
hsa-miR-345	8061
hsa-miR-337-3p	13955
hsa-miR-30a	59259
hsa-miR-574-3p	66144
hsa-miR-99a	45172
hsa-miR-505	6390
hsa-miR-16	49596
hsa-miR-221	72458
hsa-miR-191	48478
hsa-miR-26a	84789
hsa-miR-365	37087
hsa-miR-10a	66151
hsa-miR-140-3p	129119
*	12304608
hsa-miR-23a	13227
hsa-let-7f	104787
hsa-miR-19b	48876
hsa-miR-29c	22158
hsa-miR-22	84575
hsa-miR-29b	307056
hsa-miR-214	61958
hsa-miR-15b	26323
hsa-miR-100	87259
hsa-let-7d	22277
hsa-miR-199a-5p	105020
hsa-miR-483-3p	34898
hsa-let-7e	26925
hsa-miR-1280	43306
hsa-miR-1260b	42732
hsa-miR-4286	114764
hsa-miR-181a	20537
hsa-miR-484	29482
hsa-miR-143	124626
hsa-let-7i	15972
hsa-miR-3150	551
hsa-miR-197	10383
hsa-miR-151-5p	22096
hsa-miR-615-3p	5899
hsa-miR-195	4852
hsa-miR-34a	56919
hsa-miR-331-3p	45597
hsa-let-7g	75129
hsa-miR-23b	11352
hsa-miR-224	8261
hsa-miR-660	3851
hsa-miR-148a	17546
hsa-miR-193b	47672
hsa-miR-342-3p	15733
hsa-miR-10b	41755
hsa-miR-376c	10687
hsa-miR-181d	641
hsa-miR-193a-3p	8711
hsa-miR-92a	31492
hsa-miR-1260	4318
hsa-miR-301a	10965
hsa-miR-128	7866
hsa-miR-93	4595
hsa-miR-671-5p	3753
hsa-miR-424	17260
hsa-miR-590-5p	4881
hsa-miR-199b-5p	17832
hsa-miR-379	2528
hsa-miR-99b	10366
hsa-miR-101	4485
hsa-miR-181b	10123
hsa-miR-3676	2481
hsa-miR-361-5p	4937
hsa-miR-532-5p	3093
hsa-miR-152	33640
hsa-miR-485-3p	1297
hsa-miR-106b	5517
hsa-miR-551b	4355
hsa-miR-28-3p	7192
hsa-miR-3182	4878
hsa-miR-25	8034
hsa-miR-210	25931
hsa-miR-15a	11656
hsa-miR-326	1346
hsa-miR-151-3p	2698
hsa-miR-874	6062
hsa-miR-17	11323
hsa-miR-148b	4896
hsa-miR-361-3p	2286
hsa-miR-574-5p	21231
hsa-miR-542-3p	2249
hsa-miR-720	14841
hsa-miR-452	1147
hsa-miR-567	3872
hsa-miR-296-5p	1686
hsa-miR-23c	28316
hsa-miR-600	4353
hsa-miR-339-5p	13319
hsa-miR-30d	9302
hsa-miR-324-5p	3418
hsa-miR-3164	6002
hsa-miR-2355-5p	763
hsa-miR-92b	7881
hsa-miR-497	3732
hsa-miR-873	1050
hsa-miR-487b	4475
hsa-miR-328	6131
hsa-miR-20a	3024
hsa-miR-502-3p	853
hsa-miR-140-5p	8949
hsa-miR-423-3p	10811
hsa-miR-335	1222
hsa-miR-30e	11386
hsa-miR-665	1848
hsa-miR-362-5p	753
hsa-miR-425	2797
hsa-miR-4315	53114
hsa-miR-129-3p	1852
hsa-miR-185	9664
hsa-miR-1274a	9018
hsa-miR-28-5p	989
hsa-miR-4301	12010
